latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
1.2302284,32.533543,1090.0,10800,Africa/Kampala,GMT+3

time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),temperature_2m_mean (°C),wind_speed_10m_max (km/h),surface_pressure_mean (hPa),relative_humidity_2m_max (%)
2022-12-22,29.9,17.8,0.20,23.1,11.1,892.9,94
2022-12-23,30.1,18.2,11.50,22.9,11.2,893.8,96
2022-12-24,28.5,18.2,3.30,22.5,12.9,894.7,95
2022-12-25,29.0,17.0,0.60,22.5,13.1,895.1,99
2022-12-26,28.1,17.5,1.40,22.6,10.7,895.2,91
2022-12-27,25.8,17.9,0.60,21.5,10.0,895.5,87
2022-12-28,27.5,17.2,0.00,22.0,11.0,895.2,87
2022-12-29,29.5,18.5,0.20,23.7,19.6,893.9,91
2022-12-30,30.0,17.6,0.10,23.6,17.2,894.8,87
2022-12-31,30.6,17.0,0.00,23.3,15.5,894.5,98
2023-01-01,29.8,16.7,0.00,23.1,18.8,893.9,97
2023-01-02,30.0,16.5,0.00,23.3,17.6,893.7,84
2023-01-03,30.4,18.6,0.70,23.7,18.6,894.7,85
2023-01-04,30.5,17.5,0.00,24.5,20.3,894.3,87
2023-01-05,31.1,19.6,0.00,25.2,26.7,894.0,71
2023-01-06,31.6,16.5,0.00,24.1,19.1,894.2,84
2023-01-07,31.8,17.7,0.00,25.3,16.6,894.0,63
2023-01-08,31.5,19.3,0.00,25.5,15.9,893.8,55
2023-01-09,30.8,18.0,0.20,24.3,11.2,894.7,80
2023-01-10,29.0,19.0,6.10,23.2,19.3,895.6,89
2023-01-11,30.5,16.8,0.10,23.5,12.8,894.8,92
2023-01-12,30.9,18.2,0.10,24.5,16.8,893.7,72
2023-01-13,30.8,16.8,0.00,23.9,13.2,893.6,89
2023-01-14,31.6,17.4,0.00,23.8,14.0,893.8,92
2023-01-15,31.1,17.0,0.00,24.1,13.8,893.0,94
2023-01-16,31.0,18.2,0.00,24.5,16.5,893.8,92
2023-01-17,31.6,18.1,0.00,25.5,18.9,893.2,67
2023-01-18,31.8,17.4,0.00,24.7,13.5,893.3,85
2023-01-19,32.9,17.0,0.00,24.6,16.6,893.2,89
2023-01-20,32.0,17.6,0.00,24.6,16.6,892.6,94
2023-01-21,33.2,18.2,0.00,26.3,17.1,891.8,85
2023-01-22,31.4,19.2,0.00,25.2,15.3,892.7,72
2023-01-23,31.0,17.5,0.00,24.4,14.0,892.6,91
2023-01-24,31.0,18.5,0.10,24.2,14.2,893.0,89
2023-01-25,31.9,17.1,0.00,24.7,18.4,891.9,94
2023-01-26,31.5,18.6,0.00,24.9,16.0,891.7,80
2023-01-27,32.8,18.0,0.00,25.2,15.4,891.7,84
2023-01-28,33.3,17.4,0.00,25.3,16.1,891.5,87
2023-01-29,34.0,18.1,0.00,25.8,16.1,891.7,82
2023-01-30,33.6,18.0,0.00,26.2,17.4,893.0,66
2023-01-31,33.0,17.9,0.00,25.7,15.8,893.1,66
2023-02-01,33.1,18.2,0.00,25.2,20.0,894.0,77
2023-02-02,33.2,19.6,0.00,25.9,16.1,894.5,68
2023-02-03,33.3,18.0,0.00,25.3,17.4,894.6,85
2023-02-04,31.9,18.0,0.00,25.2,14.0,893.6,72
2023-02-05,32.5,17.6,0.00,25.5,17.5,892.9,56
2023-02-06,33.0,18.1,0.00,25.8,17.0,892.9,81
2023-02-07,32.3,18.0,0.00,24.7,12.6,892.9,92
2023-02-08,32.7,19.2,0.00,25.3,18.4,893.0,92
2023-02-09,31.5,18.4,0.40,24.7,10.2,893.8,93
2023-02-10,32.0,17.9,0.00,24.8,15.6,893.9,91
2023-02-11,33.7,18.5,0.00,25.8,17.1,893.2,90
2023-02-12,34.0,17.7,0.00,26.0,17.8,892.7,93
2023-02-13,34.2,19.8,0.00,26.6,21.7,893.0,76
2023-02-14,34.9,17.3,0.00,25.9,18.4,891.9,66
2023-02-15,33.7,19.0,0.00,26.5,14.8,891.2,85
2023-02-16,33.3,21.6,0.00,27.5,21.3,891.6,49
2023-02-17,32.5,20.7,0.00,26.7,14.6,892.4,59
2023-02-18,33.0,18.5,0.00,26.2,11.8,892.2,72
2023-02-19,34.6,21.1,0.00,27.6,16.5,892.3,53
2023-02-20,35.1,21.6,0.00,28.0,18.5,892.8,60
2023-02-21,35.0,19.6,0.00,27.0,21.8,892.7,76
2023-02-22,35.2,22.2,0.00,28.1,16.2,892.7,77
2023-02-23,33.9,21.7,0.00,27.1,18.2,892.5,73
2023-02-24,33.8,20.2,0.00,26.1,15.7,893.2,89
2023-02-25,33.5,20.5,0.40,26.6,15.5,893.6,83
2023-02-26,33.5,19.2,0.00,25.9,15.9,893.8,81
2023-02-27,32.5,20.9,2.30,24.6,18.5,894.9,83
2023-02-28,32.5,18.9,0.10,24.6,13.9,895.7,96
2023-03-01,31.0,19.0,3.10,23.4,16.6,895.3,97
2023-03-02,30.5,19.2,1.90,23.5,12.1,894.7,87
2023-03-03,30.9,18.2,0.70,23.5,11.4,895.2,98
2023-03-04,32.4,18.2,0.40,24.0,10.5,894.9,90
2023-03-05,33.3,19.2,1.50,25.6,13.8,894.1,92
2023-03-06,34.4,18.5,0.00,26.4,17.0,892.2,94
2023-03-07,36.6,18.5,0.00,26.7,21.9,890.9,85
2023-03-08,35.5,20.3,0.00,27.3,14.1,891.3,70
2023-03-09,32.7,21.4,0.00,27.0,16.4,892.8,72
2023-03-10,31.5,19.4,14.60,24.6,13.8,892.5,97
2023-03-11,32.5,20.0,0.60,24.8,12.6,892.2,87
2023-03-12,26.3,19.0,10.00,21.6,13.4,893.2,96
2023-03-13,31.3,18.2,0.60,23.8,10.8,892.6,93
2023-03-14,23.6,18.4,22.80,20.5,12.6,892.8,98
2023-03-15,25.6,17.3,6.40,20.9,11.9,893.1,100
2023-03-16,28.9,18.8,2.50,22.5,8.8,892.6,99
2023-03-17,28.1,18.1,11.30,22.4,16.9,892.1,88
2023-03-18,28.2,18.5,14.50,22.4,9.9,894.4,95
2023-03-19,28.9,17.8,0.30,22.8,6.5,893.7,95
2023-03-20,27.2,17.5,7.90,21.1,15.2,894.5,96
2023-03-21,27.2,17.5,2.60,21.6,8.9,893.6,98
2023-03-22,30.2,17.0,0.40,23.2,14.5,892.9,94
2023-03-23,26.4,18.6,21.40,21.4,10.1,893.8,98
2023-03-24,29.5,18.7,0.10,22.9,11.2,893.4,99
2023-03-25,30.4,18.5,14.90,22.6,22.5,893.1,93
2023-03-26,28.5,18.5,15.10,21.2,8.9,894.3,99
2023-03-27,29.2,17.2,5.80,22.6,9.7,893.6,100
2023-03-28,27.5,18.1,2.30,22.3,8.9,893.9,98
2023-03-29,28.5,18.1,2.00,22.7,13.0,894.7,96
2023-03-30,29.9,18.0,6.80,23.2,13.8,893.4,98
2023-03-31,28.2,18.0,4.30,22.0,10.0,893.6,97
2023-04-01,27.9,17.1,0.30,21.7,8.3,894.9,97
2023-04-02,29.3,17.3,1.40,23.0,8.1,893.4,94
2023-04-03,28.9,18.7,9.80,22.4,9.4,893.0,98
2023-04-04,29.9,17.5,6.20,22.5,9.4,892.8,99
2023-04-05,30.4,18.6,2.80,23.1,13.3,893.1,96
2023-04-06,29.7,18.0,2.80,23.0,13.7,893.2,95
2023-04-07,30.9,18.0,0.30,23.8,12.1,892.4,94
2023-04-08,30.6,18.0,0.20,24.0,12.1,892.5,96
2023-04-09,30.6,19.6,3.20,23.6,12.7,893.6,95
2023-04-10,31.1,18.4,0.40,24.3,14.0,892.6,95
2023-04-11,32.0,18.1,0.30,24.2,13.0,891.9,92
2023-04-12,31.0,19.5,0.30,24.4,14.5,892.6,95
2023-04-13,30.4,19.1,0.60,23.8,11.5,893.7,90
2023-04-14,29.4,19.2,3.00,23.0,12.6,894.0,94
2023-04-15,31.0,18.8,2.30,23.2,16.4,893.3,99
2023-04-16,30.0,19.0,0.40,23.9,14.7,892.5,96
2023-04-17,30.0,19.5,7.20,23.4,10.8,892.4,97
2023-04-18,29.9,17.7,3.00,22.6,11.8,893.8,99
2023-04-19,30.2,19.0,0.90,23.8,16.2,893.5,94
2023-04-20,31.5,19.2,1.10,24.4,10.1,891.2,95
2023-04-21,30.0,19.2,0.90,23.9,11.2,890.1,97
2023-04-22,26.0,20.0,2.40,22.7,14.8,891.3,87
2023-04-23,24.2,19.4,7.10,21.2,14.8,893.3,96
2023-04-24,28.9,18.7,3.90,22.4,9.0,893.5,98
2023-04-25,26.7,19.0,21.40,20.9,16.3,894.1,98
2023-04-26,27.4,18.4,2.60,21.9,14.3,893.7,100
2023-04-27,28.8,18.5,5.20,21.9,9.3,893.2,98
2023-04-28,29.0,17.8,21.10,22.4,14.3,893.7,100
2023-04-29,26.7,17.8,4.60,21.8,8.8,894.4,99
2023-04-30,22.9,17.7,12.20,20.2,9.2,894.8,97
2023-05-01,25.2,18.2,3.00,20.7,9.4,895.1,98
2023-05-02,27.6,17.0,0.50,21.3,7.8,894.7,96
2023-05-03,27.4,17.0,1.10,21.6,11.6,895.7,100
2023-05-04,27.3,18.3,7.00,21.5,10.4,896.8,99
2023-05-05,28.4,17.6,2.30,21.8,15.0,895.7,99
2023-05-06,28.5,17.6,0.80,22.5,12.4,894.8,100
2023-05-07,29.8,19.5,0.20,23.6,8.5,894.9,95
2023-05-08,30.4,18.1,7.70,23.4,19.3,894.5,98
2023-05-09,28.4,19.1,10.40,22.4,10.3,894.1,98
2023-05-10,27.8,18.0,3.50,22.5,8.4,894.3,100
2023-05-11,28.4,17.9,0.90,22.7,9.2,895.2,100
2023-05-12,31.5,18.9,0.00,24.1,12.6,895.3,98
2023-05-13,31.5,19.2,0.00,24.0,17.3,896.1,96
2023-05-14,30.5,18.2,0.60,24.3,12.7,895.9,99
2023-05-15,32.2,19.1,0.50,24.7,14.1,895.4,95
2023-05-16,30.5,19.2,2.30,23.8,16.3,895.2,94
2023-05-17,31.5,20.1,0.60,24.7,11.9,895.0,94
2023-05-18,30.9,19.6,0.20,24.2,11.8,895.6,100
2023-05-19,30.1,19.1,4.40,23.9,13.3,895.4,92
2023-05-20,31.9,18.5,0.20,24.1,9.4,894.7,100
2023-05-21,32.8,18.6,0.80,25.1,10.2,894.1,97
2023-05-22,30.5,19.2,1.90,24.4,22.7,894.3,94
2023-05-23,30.9,18.8,11.70,23.5,10.7,894.8,97
2023-05-24,31.3,18.9,1.10,23.9,12.5,894.9,98
2023-05-25,31.6,19.0,0.60,24.0,12.7,894.2,99
2023-05-26,30.4,18.5,0.40,23.4,15.0,894.1,98
2023-05-27,30.5,18.0,1.30,23.5,11.3,893.9,96
2023-05-28,30.6,19.9,2.10,24.2,12.0,894.5,88
2023-05-29,30.5,19.1,0.80,23.8,10.5,895.1,94
2023-05-30,28.3,19.4,9.60,23.0,14.5,895.9,95
2023-05-31,28.5,18.5,15.20,22.9,15.4,896.3,94
2023-06-01,29.4,18.3,1.10,23.2,13.4,895.1,96
2023-06-02,30.1,17.5,0.40,23.9,9.8,894.8,98
2023-06-03,30.4,19.1,0.90,23.9,10.1,895.1,93
2023-06-04,27.0,19.4,10.70,22.6,13.3,894.9,92
2023-06-05,29.1,18.0,0.00,23.3,12.7,895.2,98
2023-06-06,28.7,19.4,2.60,23.6,14.8,895.8,92
2023-06-07,29.6,18.3,0.10,23.2,12.2,895.7,94
2023-06-08,30.6,17.6,0.00,23.7,13.2,896.1,98
2023-06-09,30.2,18.8,0.40,23.7,15.5,895.7,89
2023-06-10,30.4,18.9,2.10,23.0,15.3,895.5,95
2023-06-11,30.5,19.4,4.20,23.1,10.8,896.1,96
2023-06-12,29.8,18.4,0.20,23.9,10.3,895.5,97
2023-06-13,30.0,18.5,19.50,22.3,21.3,895.3,97
2023-06-14,27.8,19.1,6.30,22.0,17.7,896.4,98
2023-06-15,29.0,17.2,0.90,22.8,9.1,896.3,100
2023-06-16,29.5,18.6,0.20,23.9,9.8,895.2,96
2023-06-17,30.2,19.1,9.20,22.7,8.6,895.1,93
2023-06-18,29.7,17.9,0.90,22.5,9.8,894.8,99
2023-06-19,29.4,19.3,3.20,22.7,12.7,894.9,96
2023-06-20,26.8,19.1,3.00,22.4,8.0,894.9,93
2023-06-21,26.8,18.5,3.60,21.6,11.5,894.7,96
2023-06-22,26.7,18.6,13.60,20.9,10.2,894.8,99
2023-06-23,25.7,17.6,2.20,20.6,12.0,895.3,99
2023-06-24,25.8,18.5,4.60,21.2,10.6,895.8,99
2023-06-25,26.7,17.2,4.90,21.5,9.3,895.1,100
2023-06-26,27.5,17.1,5.40,21.6,8.4,894.6,97
2023-06-27,27.5,18.0,0.30,22.5,8.0,894.8,98
2023-06-28,27.6,18.5,7.40,22.7,10.9,895.7,97
2023-06-29,30.4,17.5,0.30,23.3,11.0,895.3,96
2023-06-30,27.8,18.8,0.60,22.3,10.9,895.9,98
2023-07-01,28.9,18.6,1.00,22.5,11.0,896.6,95
2023-07-02,28.0,19.0,1.60,22.5,15.1,896.9,96
2023-07-03,27.6,17.9,3.40,21.8,13.3,897.2,98
2023-07-04,28.5,17.8,1.40,21.9,12.0,896.2,94
2023-07-05,28.5,17.2,1.10,22.6,11.3,895.4,92
2023-07-06,27.1,17.2,0.30,22.0,15.5,895.7,86
2023-07-07,26.4,18.5,5.40,21.3,15.2,896.6,89
2023-07-08,28.6,17.6,0.20,22.2,13.3,896.4,93
2023-07-09,28.5,16.3,0.00,22.5,9.8,896.2,85
2023-07-10,29.8,17.1,0.10,23.1,9.2,895.5,94
2023-07-11,30.2,17.2,0.00,23.4,7.7,895.1,96
2023-07-12,29.0,18.8,0.20,23.6,10.9,895.5,88
2023-07-13,28.8,18.3,2.20,23.0,13.7,895.3,94
2023-07-14,29.0,16.8,14.80,22.1,16.6,895.7,96
2023-07-15,29.4,18.5,0.60,23.5,15.6,896.0,84
2023-07-16,30.3,18.1,0.20,23.5,12.2,896.2,92
2023-07-17,31.3,16.6,0.00,23.5,18.2,895.8,97
2023-07-18,31.0,16.8,0.00,23.7,17.0,895.9,81
2023-07-19,30.3,19.5,0.40,24.2,18.4,895.8,71
2023-07-20,30.9,17.9,1.60,23.7,11.8,896.1,79
2023-07-21,32.2,16.5,0.00,23.9,17.3,896.7,85
2023-07-22,31.5,17.9,0.20,24.1,17.4,897.5,81
2023-07-23,31.1,17.3,0.00,24.4,10.9,896.7,85
2023-07-24,31.3,19.6,0.40,24.5,16.2,895.9,79
2023-07-25,31.0,18.8,0.20,23.9,18.5,895.3,84
2023-07-26,29.9,20.3,1.40,23.9,18.0,895.8,77
2023-07-27,30.4,18.1,0.10,23.9,10.9,897.0,93
2023-07-28,30.8,18.4,0.80,24.2,10.9,896.7,84
2023-07-29,30.9,19.2,1.50,24.1,10.7,896.0,90
2023-07-30,31.0,19.0,1.40,23.7,14.7,896.2,95
2023-07-31,31.3,18.6,0.50,23.4,17.6,896.1,91
2023-08-01,29.0,18.8,2.30,23.5,10.9,896.3,97
2023-08-02,26.5,18.4,14.30,21.2,12.2,897.5,95
2023-08-03,25.4,17.0,8.60,20.3,13.7,897.8,98
2023-08-04,29.1,16.8,0.90,21.4,24.1,897.4,98
2023-08-05,29.2,17.6,1.50,22.5,11.2,898.2,94
2023-08-06,29.8,17.6,1.10,22.5,13.0,897.4,91
2023-08-07,30.0,18.9,1.50,22.5,15.9,896.5,83
2023-08-08,28.7,17.4,4.30,21.3,13.1,895.7,92
2023-08-09,29.0,16.8,0.10,22.6,10.5,895.5,94
2023-08-10,30.0,19.2,0.80,23.4,14.9,896.2,88
2023-08-11,29.5,18.1,0.30,23.2,10.6,895.7,98
2023-08-12,30.0,17.9,0.20,23.5,11.6,894.3,96
2023-08-13,30.2,18.8,0.00,24.2,11.5,894.3,95
2023-08-14,31.2,19.5,0.30,24.9,14.5,894.6,92
2023-08-15,31.9,18.6,0.00,24.9,13.0,895.1,89
2023-08-16,31.2,18.8,0.00,24.8,9.5,894.9,84
2023-08-17,28.7,20.2,16.10,22.8,12.3,894.6,92
2023-08-18,29.1,19.0,4.80,23.4,11.6,894.2,97
2023-08-19,31.3,17.7,0.00,24.1,13.5,893.6,93
2023-08-20,31.4,17.0,0.30,23.6,13.1,893.2,96
2023-08-21,32.0,18.2,0.20,23.9,15.8,893.2,87
2023-08-22,31.2,19.2,0.00,24.8,13.0,893.8,91
2023-08-23,31.8,19.1,0.10,24.6,16.6,892.8,86
2023-08-24,32.1,19.6,0.00,25.3,14.7,892.8,93
2023-08-25,33.0,18.9,0.00,25.5,15.3,892.7,93
2023-08-26,31.4,19.9,0.60,25.0,16.3,893.7,91
2023-08-27,31.6,19.3,0.20,24.7,8.1,894.7,87
2023-08-28,31.0,18.9,6.70,23.4,12.6,895.9,92
2023-08-29,29.3,17.9,0.40,23.4,13.7,895.9,94
2023-08-30,29.1,18.3,3.70,22.3,14.5,895.9,90
2023-08-31,29.5,18.6,0.10,23.5,8.9,896.4,94
2023-09-01,30.2,18.1,0.30,23.8,13.0,895.5,94
2023-09-02,31.2,18.5,0.00,24.6,10.7,894.9,93
2023-09-03,33.2,18.6,0.00,25.3,13.3,893.7,87
2023-09-04,32.0,19.0,2.80,24.5,12.9,893.3,92
2023-09-05,28.5,19.0,4.80,23.1,11.5,895.0,94
2023-09-06,27.9,19.0,3.10,22.6,12.2,896.2,93
2023-09-07,30.2,17.8,5.60,21.9,15.4,896.0,99
2023-09-08,31.4,18.4,1.60,23.9,13.0,894.5,95
2023-09-09,30.5,19.1,1.90,24.1,13.2,894.5,92
2023-09-10,27.6,19.0,13.10,22.2,9.1,895.1,99
2023-09-11,26.9,18.0,3.00,21.3,7.7,895.8,99
2023-09-12,29.0,19.0,2.20,23.5,17.6,895.5,100
2023-09-13,30.8,17.7,1.70,23.2,13.4,893.9,99
2023-09-14,27.4,18.1,6.00,21.8,10.2,894.0,100
2023-09-15,27.1,19.0,4.00,22.0,13.4,894.5,97
2023-09-16,28.8,18.1,1.00,23.2,11.7,894.5,98
2023-09-17,30.2,18.2,0.20,23.7,9.2,893.9,99
2023-09-18,28.0,19.4,5.10,22.4,10.1,894.0,96
2023-09-19,27.9,18.1,1.60,22.4,9.5,895.0,98
2023-09-20,27.9,17.9,15.30,21.9,14.2,895.0,100
2023-09-21,28.0,17.4,5.50,22.3,8.2,894.0,100
2023-09-22,29.4,18.4,2.00,23.1,10.3,893.8,96
2023-09-23,29.6,17.9,0.00,23.3,11.1,893.8,100
2023-09-24,29.6,19.4,0.50,23.6,11.3,894.7,90
2023-09-25,28.4,18.6,17.00,21.9,16.6,895.2,97
2023-09-26,29.8,19.1,0.00,23.7,8.4,894.6,95
2023-09-27,29.8,19.1,0.20,23.4,9.8,893.9,93
2023-09-28,29.7,18.5,0.00,23.5,9.2,894.2,93
2023-09-29,29.5,19.3,0.90,23.4,9.0,895.0,96
2023-09-30,30.3,19.3,0.40,24.2,10.5,894.9,95
2023-10-01,30.8,19.9,0.80,24.0,20.4,894.6,95
2023-10-02,31.9,18.8,10.10,23.6,9.4,894.6,97
2023-10-03,28.9,18.9,4.20,23.6,12.0,893.8,94
2023-10-04,31.7,18.8,0.00,24.4,11.8,894.2,94
2023-10-05,30.4,20.0,0.20,23.7,10.8,894.5,90
2023-10-06,29.7,19.5,2.30,23.7,12.8,893.7,96
2023-10-07,29.3,19.2,9.00,23.7,13.6,893.1,97
2023-10-08,31.0,19.5,8.00,24.3,16.0,894.2,94
2023-10-09,32.0,19.4,1.60,25.1,12.0,894.1,93
2023-10-10,32.2,19.5,2.00,24.3,17.8,893.5,92
2023-10-11,26.1,19.5,27.90,21.4,9.7,895.3,96
2023-10-12,28.1,18.5,0.30,22.8,9.3,895.4,99
2023-10-13,30.0,18.1,0.10,23.7,7.9,894.5,99
2023-10-14,30.6,18.6,2.10,24.5,13.7,893.5,97
2023-10-15,29.6,19.1,12.10,23.3,14.3,893.3,99
2023-10-16,27.1,19.7,9.80,22.1,11.3,894.2,97
2023-10-17,27.6,19.6,1.50,22.9,11.5,894.9,96
2023-10-18,29.1,18.4,12.10,23.1,13.1,894.6,96
2023-10-19,28.5,19.5,5.00,22.9,12.2,895.2,96
2023-10-20,25.1,18.8,27.70,21.0,8.6,895.9,97
2023-10-21,28.0,19.0,2.80,22.3,8.6,895.4,97
2023-10-22,29.5,18.9,5.90,22.8,8.3,893.8,96
2023-10-23,29.3,18.2,0.60,23.7,9.2,892.9,97
2023-10-24,29.9,19.3,0.00,24.3,10.2,892.3,97
2023-10-25,29.5,19.6,0.30,24.1,9.0,892.7,94
2023-10-26,29.0,19.4,4.80,23.3,8.0,893.3,97
2023-10-27,26.5,18.4,18.00,21.5,10.2,893.9,99
2023-10-28,27.0,18.5,3.40,22.4,12.0,894.2,98
2023-10-29,27.9,19.6,5.80,23.0,10.9,893.6,94
2023-10-30,28.4,18.6,9.50,22.5,9.9,892.7,98
2023-10-31,30.2,18.8,1.30,23.7,12.9,891.9,98
2023-11-01,28.9,19.0,9.40,22.6,13.5,892.5,97
2023-11-02,27.0,19.5,17.40,22.3,11.5,893.7,98
2023-11-03,27.8,18.2,5.90,22.1,7.1,893.8,98
2023-11-04,26.3,19.5,1.70,22.0,8.5,894.1,98
2023-11-05,22.2,17.8,43.10,19.7,11.2,894.7,97
2023-11-06,28.5,15.2,0.00,21.7,8.3,894.6,100
2023-11-07,27.2,18.0,5.20,21.9,8.0,894.9,98
2023-11-08,28.0,18.2,1.60,22.4,8.4,893.6,99
2023-11-09,30.0,18.4,0.00,23.5,10.8,893.0,100
2023-11-10,29.0,19.2,1.60,23.2,11.5,893.8,96
2023-11-11,28.9,19.0,1.70,23.2,14.0,894.1,95
2023-11-12,29.4,19.2,8.10,23.7,17.5,894.7,96
2023-11-13,28.3,19.0,16.30,22.4,11.8,895.1,99
2023-11-14,27.6,18.4,9.50,22.3,8.5,894.8,99
2023-11-15,28.5,18.2,4.30,22.1,10.5,893.9,99
2023-11-16,28.4,19.2,1.20,23.1,12.8,893.6,100
2023-11-17,27.0,19.2,18.80,22.3,11.0,894.2,99
2023-11-18,26.9,18.6,7.50,22.4,7.9,894.3,99
2023-11-19,28.6,19.0,11.40,22.6,8.7,894.1,98
2023-11-20,27.8,19.3,6.50,22.4,7.2,893.8,99
2023-11-21,27.3,18.5,2.60,21.9,8.3,893.6,97
2023-11-22,28.2,18.9,1.30,22.9,13.0,893.3,99
2023-11-23,28.8,17.5,0.10,22.7,13.9,893.1,99
2023-11-24,28.0,18.3,3.00,22.1,16.1,892.8,97
2023-11-25,28.4,19.0,3.20,23.0,9.2,893.3,98
2023-11-26,26.1,18.8,33.40,21.3,12.0,894.7,97
2023-11-27,28.2,18.4,1.20,22.0,10.0,894.9,99
2023-11-28,27.9,16.6,0.20,22.1,11.0,892.8,100
2023-11-29,28.8,18.4,0.10,22.6,14.7,892.7,100
2023-11-30,27.8,18.1,0.00,22.3,9.4,894.0,98
2023-12-01,28.1,17.2,0.00,22.5,10.7,894.2,99
2023-12-02,27.8,17.1,1.20,22.0,9.8,893.6,100
2023-12-03,28.2,17.0,0.10,22.5,9.3,893.5,100
2023-12-04,27.9,18.0,0.10,22.4,8.4,894.2,98
2023-12-05,27.9,18.0,13.90,22.5,11.8,894.7,98
2023-12-06,28.5,16.9,0.60,22.4,8.7,894.8,100
2023-12-07,28.6,17.7,0.80,22.5,10.7,894.7,99
2023-12-08,28.1,17.5,0.00,22.5,10.2,894.3,98
2023-12-09,28.5,17.6,0.40,22.8,7.6,893.1,96
2023-12-10,25.8,18.4,12.40,20.9,11.5,893.9,99
2023-12-11,29.2,17.9,0.00,22.9,10.4,893.8,98
2023-12-12,27.8,18.5,1.50,22.6,9.8,894.2,98
2023-12-13,28.3,18.1,1.40,22.5,8.9,893.8,98
2023-12-14,28.5,18.8,1.40,23.1,8.0,893.7,97
2023-12-15,27.5,18.4,2.10,22.0,8.9,894.0,92
2023-12-16,28.5,18.5,2.10,22.8,11.3,892.9,96
2023-12-17,29.8,20.5,0.00,24.4,14.7,892.4,85
2023-12-18,30.1,17.9,0.00,23.7,11.7,891.9,98
2023-12-19,30.1,18.4,0.00,23.9,9.4,892.7,97
2023-12-20,30.6,19.0,0.30,24.2,8.3,893.3,88
2023-12-21,31.0,18.9,0.00,24.4,12.5,893.4,92
2023-12-22,31.0,18.4,0.00,24.6,16.4,894.2,94
2023-12-23,30.1,17.4,0.20,23.9,11.1,894.7,100
2023-12-24,30.4,17.8,0.40,23.6,9.8,894.7,100
2023-12-25,30.5,17.6,0.20,23.8,11.8,893.5,100
2023-12-26,31.1,18.8,0.20,24.7,14.0,892.5,97
2023-12-27,29.4,21.2,0.00,25.0,13.9,894.3,76
2023-12-28,29.0,18.6,1.70,23.4,12.0,896.0,95
2023-12-29,30.1,18.6,0.10,23.9,9.2,894.6,95
2023-12-30,29.6,19.0,0.80,24.0,14.1,894.2,91
2023-12-31,27.9,20.1,3.40,23.2,8.6,895.0,97
2024-01-01,28.9,18.5,0.80,22.3,9.1,895.4,97
2024-01-02,29.0,18.0,7.10,23.2,8.7,894.9,100
2024-01-03,28.8,18.9,2.90,23.4,11.9,894.5,95
2024-01-04,30.9,17.8,0.00,24.0,12.1,894.8,79
2024-01-05,30.2,18.1,0.00,24.1,12.6,895.5,85
2024-01-06,30.1,17.6,0.00,23.8,13.4,894.9,97
2024-01-07,30.8,17.4,0.00,23.9,11.2,894.0,72
2024-01-08,30.9,19.0,0.00,24.9,10.9,893.3,81
2024-01-09,31.5,20.1,0.00,24.7,10.9,893.6,91
2024-01-10,30.1,19.5,0.20,23.8,12.3,894.0,86
2024-01-11,30.6,19.5,0.30,24.8,16.4,893.6,96
2024-01-12,30.5,19.8,0.50,24.6,11.8,894.1,86
2024-01-13,30.6,17.9,0.00,24.0,11.1,894.0,84
2024-01-14,30.0,20.2,1.20,23.4,12.6,894.7,88
2024-01-15,30.5,18.5,0.30,24.2,13.2,894.9,94
2024-01-16,29.8,19.4,0.30,24.5,10.9,895.3,96
2024-01-17,31.1,19.4,0.10,24.7,12.6,895.3,71
2024-01-18,31.0,19.5,0.00,23.8,12.7,896.0,73
2024-01-19,30.5,17.5,0.00,23.9,10.3,894.8,89
2024-01-20,31.5,20.0,0.00,25.4,11.7,894.4,69
2024-01-21,31.6,21.5,0.00,25.8,16.3,895.2,59
2024-01-22,31.2,17.8,0.00,25.1,13.0,895.6,69
2024-01-23,31.3,20.0,0.40,25.3,13.0,896.5,91
2024-01-24,31.4,19.7,0.60,25.0,14.1,896.3,87
2024-01-25,32.3,19.1,0.00,25.0,12.3,896.0,94
2024-01-26,31.0,19.9,0.00,24.9,13.7,895.9,93
2024-01-27,30.6,20.1,0.00,25.0,12.6,895.8,86
2024-01-28,31.6,18.6,0.00,25.5,15.7,894.8,72
2024-01-29,32.2,19.8,0.00,25.8,13.6,895.1,80
2024-01-30,31.1,19.6,0.00,25.3,10.9,895.3,69
2024-01-31,32.2,19.2,0.00,25.7,12.5,895.7,90
2024-02-01,31.5,20.9,0.10,25.8,9.1,896.2,70
2024-02-02,31.4,19.5,1.30,24.8,13.4,895.7,90
2024-02-03,30.0,19.5,1.40,24.5,11.8,895.2,93
2024-02-04,31.9,20.0,0.10,25.7,14.0,895.3,91
2024-02-05,31.0,19.9,0.30,25.1,15.3,896.3,80
2024-02-06,31.9,19.0,0.10,25.2,11.8,896.9,83
2024-02-07,32.0,18.4,0.20,25.3,15.0,895.9,94
2024-02-08,33.0,20.9,0.80,26.1,12.8,895.8,85
2024-02-09,32.6,19.5,0.30,25.8,13.0,894.4,91
2024-02-10,32.2,20.2,2.10,25.7,14.8,895.6,86
2024-02-11,30.7,19.0,2.10,24.3,10.4,896.5,95
2024-02-12,31.4,19.8,2.40,25.0,10.1,895.5,92
2024-02-13,31.1,20.0,1.40,24.8,10.8,894.6,90
